candidate_id,rank,score,reasoning
CAND_0077337,1,0.8192,"Staff Machine Learning Engineer with 7.0 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; strong skill alignment (embeddings, retrieval, ranking); India-based in Kochi, Kerala, willing to relocate; recently active (23d ago); high recruiter response rate (95%); strong GitHub activity (68/100)."
CAND_0002025,2,0.7653,"Senior AI Engineer with 5.9 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; partial skill overlap with JD core stack; India-based in Trivandrum, Kerala; recently active (23d ago); high recruiter response rate (80%); available within 30d notice; strong GitHub activity (97/100)."
CAND_0011687,3,0.7558,"Senior NLP Engineer with 7.8 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; strong skill alignment (embeddings, retrieval, ranking); India-based in Indore, Madhya Pradesh; high recruiter response rate (89%); available within 15d notice; strong GitHub activity (76/100)."
CAND_0050876,4,0.7541,"Applied ML Engineer with 6.0 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; partial skill overlap with JD core stack; India-based in Kolkata, West Bengal; recently active (23d ago); strong GitHub activity (86/100)."
CAND_0018499,5,0.7537,"Senior Machine Learning Engineer with 7.2 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; strong skill alignment (embeddings, retrieval, ranking); based in Noida, Uttar Pradesh (JD preferred location); available within 15d notice; strong GitHub activity (95/100)."
CAND_0079387,6,0.753,"AI Engineer with 6.9 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; partial skill overlap with JD core stack; India-based in Trivandrum, Kerala; high recruiter response rate (81%); available within 30d notice; strong GitHub activity (64/100)."
CAND_0046525,7,0.7521,"Senior Machine Learning Engineer with 6.1 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; partial skill overlap with JD core stack; based in Pune, Maharashtra (JD preferred location); recently active (26d ago); high recruiter response rate (88%)."
CAND_0081846,8,0.7486,"Lead AI Engineer with 6.7 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; strong skill alignment (embeddings, retrieval, ranking); India-based in Jaipur, Rajasthan, willing to relocate; available within 30d notice."
CAND_0088025,9,0.748,"Staff Machine Learning Engineer with 8.6 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; strong skill alignment (embeddings, retrieval, ranking); India-based in Jaipur, Rajasthan; high recruiter response rate (83%); strong GitHub activity (75/100)."
CAND_0043860,10,0.742,"Junior ML Engineer with 6.1 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; partial skill overlap with JD core stack; India-based in Bhubaneswar, Odisha, willing to relocate; recently active (23d ago); high recruiter response rate (81%); available within 30d notice; no GitHub linked."
CAND_0004402,11,0.7416,"AI Research Engineer with 6.0 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; partial skill overlap with JD core stack; based in Delhi, Delhi (JD preferred location); recently active (24d ago); high recruiter response rate (83%); no GitHub linked."
CAND_0096142,12,0.7403,"Applied ML Engineer with 5.0 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; partial skill overlap with JD core stack; based in Hyderabad, Telangana (JD preferred location); recently active (28d ago); high recruiter response rate (84%); notice period 120d; strong GitHub activity (80/100)."
CAND_0036184,13,0.7385,"Recommendation Systems Engineer with 6.0 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; strong skill alignment (embeddings, retrieval, ranking); India-based in Trivandrum, Kerala; recently active (23d ago); high recruiter response rate (90%); available within 30d notice."
CAND_0010149,14,0.7268,"ML Engineer with 6.9 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; partial skill overlap with JD core stack; based in Bangalore, Karnataka (JD preferred location); recently active (24d ago); high recruiter response rate (82%)."
CAND_0099806,15,0.7263,"AI Engineer with 4.6 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; partial skill overlap with JD core stack; India-based in Bhubaneswar, Odisha, willing to relocate; high recruiter response rate (76%); available within 30d notice; strong GitHub activity (87/100)."
CAND_0052682,16,0.7216,"NLP Engineer with 6.6 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; strong skill alignment (embeddings, retrieval, ranking); India-based in Vizag, Andhra Pradesh; high recruiter response rate (88%); available within 30d notice; strong GitHub activity (72/100)."
CAND_0006418,17,0.7192,"Machine Learning Engineer with 5.7 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; strong skill alignment (embeddings, retrieval, ranking); based in Gurgaon, Haryana (JD preferred location); high recruiter response rate (92%)."
CAND_0043637,18,0.7183,"Junior ML Engineer with 5.5 yrs — direct title match for Senior AI Engineer; product-company ML infrastructure background; partial skill overlap with JD core stack; based in Delhi, Delhi (JD preferred location); recently active (25d ago); high recruiter response rate (92%); no GitHub linked."
CAND_0074225,19,0.7181,"Machine Learning Engineer with 4.3 yrs — direct title match for Senior AI Engineer; product-company ML infrastructure background; strong skill alignment (embeddings, retrieval, ranking); India-based in Vizag, Andhra Pradesh, willing to relocate; recently active (29d ago); high recruiter response rate (91%); notice period 120d."
CAND_0064326,20,0.7164,"Search Engineer (7.6 yrs) — adjacent role, strong transferable signals; deep retrieval/ranking/recsys work at product company; strong skill alignment (embeddings, retrieval, ranking); based in Gurgaon, Haryana (JD preferred location); recently active (28d ago); high recruiter response rate (94%); strong GitHub activity (61/100)."
CAND_0030031,21,0.7157,"AI Engineer with 5.7 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; strong skill alignment (embeddings, retrieval, ranking); India-based in Trivandrum, Kerala; recently active (27d ago); high recruiter response rate (94%); available within 30d notice; not marked open-to-work."
CAND_0046064,22,0.7126,"Senior NLP Engineer with 8.9 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; partial skill overlap with JD core stack; India-based in Coimbatore, Tamil Nadu; high recruiter response rate (78%); available within 30d notice; strong GitHub activity (67/100)."
CAND_0014440,23,0.7123,"Recommendation Systems Engineer with 6.4 yrs — direct title match for Senior AI Engineer; product-company ML infrastructure background; strong skill alignment (embeddings, retrieval, ranking); based in Chennai, Tamil Nadu (JD preferred location); strong GitHub activity (90/100)."
CAND_0071974,24,0.7117,"Senior AI Engineer with 7.8 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; strong skill alignment (embeddings, retrieval, ranking); India-based in Vizag, Andhra Pradesh; high recruiter response rate (76%); strong GitHub activity (83/100)."
CAND_0020991,25,0.7091,"Junior ML Engineer with 4.9 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; partial skill overlap with JD core stack; India-based in Vizag, Andhra Pradesh, willing to relocate; recently active (23d ago); high recruiter response rate (88%); notice period 120d; strong GitHub activity (65/100)."
CAND_0000031,26,0.7082,"Recommendation Systems Engineer with 6.0 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; partial skill overlap with JD core stack; based in Hyderabad, Telangana (JD preferred location); recently active (25d ago); high recruiter response rate (91%)."
CAND_0017960,27,0.708,"Recommendation Systems Engineer with 7.7 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; partial skill overlap with JD core stack; based in Bangalore, Karnataka (JD preferred location); strong GitHub activity (92/100)."
CAND_0010603,28,0.7044,"ML Engineer with 5.3 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; limited direct skill overlap; based in Bangalore, Karnataka (JD preferred location); recently active (26d ago); high recruiter response rate (94%); strong GitHub activity (79/100)."
CAND_0069905,29,0.7043,"Applied ML Engineer with 6.6 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; strong skill alignment (embeddings, retrieval, ranking); India-based in Bhubaneswar, Odisha, willing to relocate; high recruiter response rate (78%)."
CAND_0092706,30,0.7035,"AI Research Engineer with 5.8 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; limited direct skill overlap; based in Delhi, Delhi (JD preferred location); recently active (22d ago); high recruiter response rate (78%); notice period 120d; strong GitHub activity (65/100)."
CAND_0041669,31,0.6964,"Recommendation Systems Engineer with 8.0 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; partial skill overlap with JD core stack; based in Noida, Uttar Pradesh (JD preferred location); high recruiter response rate (77%); strong GitHub activity (71/100)."
CAND_0018549,32,0.6963,"Recommendation Systems Engineer with 6.8 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; partial skill overlap with JD core stack; India-based in Coimbatore, Tamil Nadu, willing to relocate."
CAND_0055905,33,0.696,"Senior Machine Learning Engineer with 8.1 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; strong skill alignment (embeddings, retrieval, ranking); located London — outside preferred geography; high recruiter response rate (87%); available within 30d notice; no GitHub linked."
CAND_0046132,34,0.6938,"AI Research Engineer with 4.3 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; limited direct skill overlap; based in Noida, Uttar Pradesh (JD preferred location); recently active (23d ago); high recruiter response rate (94%); available within 30d notice; no GitHub linked."
CAND_0008425,35,0.6928,"Senior NLP Engineer with 7.8 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; strong skill alignment (embeddings, retrieval, ranking); India-based in Kolkata, West Bengal."
CAND_0011162,36,0.6918,"Recommendation Systems Engineer with 5.8 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; strong skill alignment (embeddings, retrieval, ranking); India-based in Coimbatore, Tamil Nadu, willing to relocate; high recruiter response rate (75%)."
CAND_0007412,37,0.6914,"Applied ML Engineer with 7.4 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; partial skill overlap with JD core stack; based in Noida, Uttar Pradesh (JD preferred location); high recruiter response rate (76%); notice period 120d."
CAND_0062247,38,0.6891,"AI Engineer with 7.3 yrs — direct title match for Senior AI Engineer; product-company ML infrastructure background; partial skill overlap with JD core stack; India-based in Kochi, Kerala, willing to relocate; high recruiter response rate (78%); available within 30d notice."
CAND_0016659,39,0.6837,"ML Engineer with 4.4 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; partial skill overlap with JD core stack; India-based in Coimbatore, Tamil Nadu; recently active (27d ago); high recruiter response rate (89%)."
CAND_0078002,40,0.6835,"Machine Learning Engineer with 6.3 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; limited direct skill overlap; India-based in Coimbatore, Tamil Nadu; high recruiter response rate (86%)."
CAND_0080534,41,0.6813,"ML Engineer with 3.8 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; partial skill overlap with JD core stack; India-based in Vizag, Andhra Pradesh; recently active (23d ago); high recruiter response rate (91%); available within 30d notice; strong GitHub activity (81/100)."
CAND_0070525,42,0.681,"Senior Software Engineer (ML) (5.4 yrs) — adjacent role, strong transferable signals; deep retrieval/ranking/recsys work at product company; partial skill overlap with JD core stack; based in Hyderabad, Telangana (JD preferred location); recently active (24d ago); high recruiter response rate (93%)."
CAND_0007596,43,0.6809,"Junior ML Engineer with 4.4 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; limited direct skill overlap; based in Delhi, Delhi (JD preferred location); recently active (27d ago); high recruiter response rate (86%); no GitHub linked."
CAND_0040887,44,0.6785,"Machine Learning Engineer with 4.7 yrs — direct title match for Senior AI Engineer; product-company ML infrastructure background; strong skill alignment (embeddings, retrieval, ranking); located Toronto — outside preferred geography; recently active (25d ago); high recruiter response rate (84%); available within 15d notice."
CAND_0027691,45,0.6784,"NLP Engineer with 6.5 yrs — direct title match for Senior AI Engineer; deep retrieval/ranking/recsys work at product company; strong skill alignment (embeddings, retrieval, ranking); based in Pune, Maharashtra (JD preferred location); available within 15d notice."
