candidate_id,rank,score,reasoning
CAND_0077337,1,0.819813,"Staff Machine Learning Engineer with 7.0 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; strong skill alignment with JD core stack (embeddings, retrieval, ranking); India-based in Kochi, Kerala, willing to relocate; recently active (23d ago); high recruiter response rate (95%); strong public GitHub activity (68/100)."
CAND_0002025,2,0.783202,"Senior AI Engineer with 5.9 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; partial skill overlap with JD requirements; India-based in Trivandrum, Kerala; recently active (23d ago); high recruiter response rate (80%); available within 30d notice; strong public GitHub activity (97/100)."
CAND_0046525,3,0.768511,"Senior Machine Learning Engineer with 6.1 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; partial skill overlap with JD requirements; based in Pune, Maharashtra (JD preferred location); recently active (26d ago); high recruiter response rate (88%)."
CAND_0011687,4,0.768023,"Senior NLP Engineer with 7.8 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; strong skill alignment with JD core stack (embeddings, retrieval, ranking); India-based in Indore, Madhya Pradesh; high recruiter response rate (89%); available within 15d notice; strong public GitHub activity (76/100)."
CAND_0018499,5,0.766552,"Senior Machine Learning Engineer with 7.2 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; strong skill alignment with JD core stack (embeddings, retrieval, ranking); based in Noida, Uttar Pradesh (JD preferred location); available within 15d notice; strong public GitHub activity (95/100)."
CAND_0081846,6,0.765918,"Lead AI Engineer with 6.7 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; strong skill alignment with JD core stack (embeddings, retrieval, ranking); India-based in Jaipur, Rajasthan, willing to relocate; available within 30d notice."
CAND_0088025,7,0.765869,"Staff Machine Learning Engineer with 8.6 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; strong skill alignment with JD core stack (embeddings, retrieval, ranking); India-based in Jaipur, Rajasthan; high recruiter response rate (83%); strong public GitHub activity (75/100)."
CAND_0050876,8,0.764832,"Applied ML Engineer with 6.0 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; partial skill overlap with JD requirements; India-based in Kolkata, West Bengal; recently active (23d ago); strong public GitHub activity (86/100)."
CAND_0079387,9,0.763313,"AI Engineer with 6.9 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; partial skill overlap with JD requirements; India-based in Trivandrum, Kerala; high recruiter response rate (81%); available within 30d notice; strong public GitHub activity (64/100)."
CAND_0004402,10,0.756031,"AI Research Engineer with 6.0 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; partial skill overlap with JD requirements; based in Delhi, Delhi (JD preferred location); recently active (24d ago); high recruiter response rate (83%); no GitHub profile linked."
CAND_0096142,11,0.753622,"Applied ML Engineer with 5.0 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; partial skill overlap with JD requirements; based in Hyderabad, Telangana (JD preferred location); recently active (28d ago); high recruiter response rate (84%); notice period 120d — longer than preferred; strong public GitHub activity (80/100)."
CAND_0043860,12,0.752452,"Junior ML Engineer with 6.1 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; partial skill overlap with JD requirements; India-based in Bhubaneswar, Odisha, willing to relocate; recently active (23d ago); high recruiter response rate (81%); available within 30d notice; no GitHub profile linked."
CAND_0036184,13,0.752095,"Recommendation Systems Engineer with 6.0 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; strong skill alignment with JD core stack (embeddings, retrieval, ranking); India-based in Trivandrum, Kerala; recently active (23d ago); high recruiter response rate (90%); available within 30d notice."
CAND_0099806,14,0.741976,"AI Engineer with 4.6 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; partial skill overlap with JD requirements; India-based in Bhubaneswar, Odisha, willing to relocate; high recruiter response rate (76%); available within 30d notice; strong public GitHub activity (87/100)."
CAND_0064326,15,0.741805,"Search Engineer (7.6 yrs) — adjacent role, strong transferable signals; career shows deep retrieval/ranking/recsys work at product company; strong skill alignment with JD core stack (embeddings, retrieval, ranking); based in Gurgaon, Haryana (JD preferred location); recently active (28d ago); high recruiter response rate (94%); strong public GitHub activity (61/100)."
CAND_0074225,16,0.736417,"Machine Learning Engineer with 4.3 yrs — direct title match for Senior AI Engineer; product-company background with ML infrastructure work; strong skill alignment with JD core stack (embeddings, retrieval, ranking); India-based in Vizag, Andhra Pradesh, willing to relocate; recently active (29d ago); high recruiter response rate (91%); notice period 120d — longer than preferred."
CAND_0071974,17,0.736326,"Senior AI Engineer with 7.8 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; strong skill alignment with JD core stack (embeddings, retrieval, ranking); India-based in Vizag, Andhra Pradesh; high recruiter response rate (76%); strong public GitHub activity (83/100)."
CAND_0010149,18,0.736293,"ML Engineer with 6.9 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; partial skill overlap with JD requirements; based in Bangalore, Karnataka (JD preferred location); recently active (24d ago); high recruiter response rate (82%)."
CAND_0006418,19,0.735425,"Machine Learning Engineer with 5.7 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; strong skill alignment with JD core stack (embeddings, retrieval, ranking); based in Gurgaon, Haryana (JD preferred location); high recruiter response rate (92%)."
CAND_0052682,20,0.734519,"NLP Engineer with 6.6 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; strong skill alignment with JD core stack (embeddings, retrieval, ranking); India-based in Vizag, Andhra Pradesh; high recruiter response rate (88%); available within 30d notice; strong public GitHub activity (72/100)."
CAND_0046064,21,0.733135,"Senior NLP Engineer with 8.9 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; partial skill overlap with JD requirements; India-based in Coimbatore, Tamil Nadu; high recruiter response rate (78%); available within 30d notice; strong public GitHub activity (67/100)."
CAND_0020991,22,0.730312,"Junior ML Engineer with 4.9 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; partial skill overlap with JD requirements; India-based in Vizag, Andhra Pradesh, willing to relocate; recently active (23d ago); high recruiter response rate (88%); notice period 120d — longer than preferred; strong public GitHub activity (65/100)."
CAND_0043637,23,0.730202,"Junior ML Engineer with 5.5 yrs — direct title match for Senior AI Engineer; product-company background with ML infrastructure work; partial skill overlap with JD requirements; based in Delhi, Delhi (JD preferred location); recently active (25d ago); high recruiter response rate (92%); no GitHub profile linked."
CAND_0069905,24,0.728824,"Applied ML Engineer with 6.6 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; strong skill alignment with JD core stack (embeddings, retrieval, ranking); India-based in Bhubaneswar, Odisha, willing to relocate; high recruiter response rate (78%)."
CAND_0030031,25,0.72873,"AI Engineer with 5.7 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; strong skill alignment with JD core stack (embeddings, retrieval, ranking); India-based in Trivandrum, Kerala; recently active (27d ago); high recruiter response rate (94%); available within 30d notice; not currently marked open-to-work."
CAND_0014440,26,0.727985,"Recommendation Systems Engineer with 6.4 yrs — direct title match for Senior AI Engineer; product-company background with ML infrastructure work; strong skill alignment with JD core stack (embeddings, retrieval, ranking); based in Chennai, Tamil Nadu (JD preferred location); strong public GitHub activity (90/100)."
CAND_0010603,27,0.727383,"ML Engineer with 5.3 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; limited direct skill overlap with JD core stack; based in Bangalore, Karnataka (JD preferred location); recently active (26d ago); high recruiter response rate (94%); strong public GitHub activity (79/100)."
CAND_0092706,28,0.725527,"AI Research Engineer with 5.8 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; limited direct skill overlap with JD core stack; based in Delhi, Delhi (JD preferred location); recently active (22d ago); high recruiter response rate (78%); notice period 120d — longer than preferred; strong public GitHub activity (65/100)."
CAND_0062247,29,0.722707,"AI Engineer with 7.3 yrs — direct title match for Senior AI Engineer; product-company background with ML infrastructure work; partial skill overlap with JD requirements; India-based in Kochi, Kerala, willing to relocate; high recruiter response rate (78%); available within 30d notice."
CAND_0017960,30,0.721976,"Recommendation Systems Engineer with 7.7 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; partial skill overlap with JD requirements; based in Bangalore, Karnataka (JD preferred location); strong public GitHub activity (92/100)."
CAND_0018549,31,0.721839,"Recommendation Systems Engineer with 6.8 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; partial skill overlap with JD requirements; India-based in Coimbatore, Tamil Nadu, willing to relocate."
CAND_0055905,32,0.721826,"Senior Machine Learning Engineer with 8.1 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; strong skill alignment with JD core stack (embeddings, retrieval, ranking); located London — outside preferred geography; high recruiter response rate (87%); available within 30d notice; no GitHub profile linked."
CAND_0041669,33,0.720236,"Recommendation Systems Engineer with 8.0 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; partial skill overlap with JD requirements; based in Noida, Uttar Pradesh (JD preferred location); high recruiter response rate (77%); strong public GitHub activity (71/100)."
CAND_0008425,34,0.715332,"Senior NLP Engineer with 7.8 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; strong skill alignment with JD core stack (embeddings, retrieval, ranking); India-based in Kolkata, West Bengal."
CAND_0039383,35,0.714635,"Applied ML Engineer with 7.1 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; partial skill overlap with JD requirements; based in Gurgaon, Haryana (JD preferred location); strong public GitHub activity (86/100)."
CAND_0000031,36,0.714615,"Recommendation Systems Engineer with 6.0 yrs — direct title match for Senior AI Engineer; career shows deep retrieval/ranking/recsys work at product company; partial skill overlap with JD requirements; based in Hyderabad, Telangana (JD preferred location); recently active (25d ago); high recruiter response rate (91%)."
